"pseudo_id","ad_age","ad_gender","time_spent_avg","par_negative_affect","ad_negative_affect","par_inter_problem_solving_avg","par_inter_corumination_avg","par_inter_reappraisal_avg","par_inter_acceptance_avg","par_inter_distraction_avg","par_inter_suppression_avg","par_intra_rumination_avg","par_intra_distraction_avg","par_intra_reappraisal_avg","par_intra_problem_solving_avg","par_intra_suppression_avg","par_intra_acceptance_avg","ad_inter_problem_solving_avg","ad_inter_corumination_avg","ad_inter_reappraisal_avg","ad_inter_acceptance_avg","ad_inter_distraction_avg","ad_inter_suppression_avg","ad_intra_rumination_avg","ad_intra_distraction_avg","ad_intra_reappraisal_avg","ad_intra_problem_solving_avg","ad_intra_suppression_avg","ad_intra_acceptance_avg"
40158,14,"Male",-0.26347480505155,0.0266483913837738,-0.136315078954617,-0.867238398908626,-0.170542808525308,-1.08753086846346,-0.478800183169911,-0.889179754559137,-0.0512563512761383,0.0575667331451533,-1.12093499369158,-0.138773473875966,0.251408843669784,-1.19768104441065,0.34688941022753,-0.397372147239953,-0.19408790971224,-0.678248334003682,-0.40553439352683,-0.596738673480563,-0.232974911715001,0.184595425806235,-0.580044282866511,-0.803979205067085,-0.41919025193415,-0.880422927417821,-0.726097999912968
22380,15,"Female",0.769741978165233,0.31336167809706,2.3839646413251,0.562831531161304,-0.170542808525308,0.720161439228852,0.828892124522397,1.11082024544086,0.312380012360225,0.151972327550747,0.83827246551588,0.672415337312845,0.264229356490297,-0.181946778676381,0.63709920043732,-0.208560958428764,-0.19408790971224,-0.48594064169599,-0.150289638282075,0.903261326519437,-0.194513373253463,2.57387281508362,-0.189601392423621,-0.90887430996219,-0.704738037481936,2.22796868097379,-1.07924485305982
60514,15,"Female",-0.0683990474757921,-0.209715244979862,-0.404496897136435,-0.405117186787414,-0.170542808525308,0.079135798203211,-0.645466849836577,-0.555846421225803,-0.187619987639775,-0.398241347662928,1.35002460226802,-0.0466017567042487,-0.248591156330216,-1.34540831713792,-1.3084136200755,-0.503432753300559,-0.19408790971224,-0.594915000670349,-0.204776817769254,-0.555072006813896,-0.232974911715001,-0.46565709944629,-0.95883216165439,-0.527464053551933,-0.553028635772535,-1.53004413953903,-1.10488587870085
74849,13,"Male",-0.867010158586903,-0.198604133868751,-0.376719119358657,-1.32178385345408,-0.170542808525308,-1.08753086846346,-0.978800183169911,-0.889179754559137,-0.187619987639775,-0.412130236551816,-1.30275317550976,-1.36604620114869,-1.08192448966355,-1.47040831713792,-1.51674695340883,1.99656724669944,0.194800979176649,2.04397388821854,0.781334293341857,0.903261326519437,1.15591397717389,-0.322138580927772,0.559686356864129,1.49568409459621,1.04882321607932,0.129678082683189,-0.882663656478624
55854,18,"Male",-0.117010158586904,-0.0430485783131958,-0.243385786025324,-0.932894964565192,-0.170542808525308,-0.754197535130122,-0.645466849836577,-0.833624199003581,-0.020953320973108,-0.0787969032184829,0.32687645411987,-0.440120275222768,-0.378220785959846,-1.41485276158236,0.205475268813388,-0.336766086633893,-0.19408790971224,-0.0115816673370157,0.392445404452967,0.0699279931861035,0.100358421618332,-0.525842284631476,-0.236609939432167,0.0327211316332517,-0.265991598735497,-1.53698858398348,0.00622523241026429
92779,17,"Female",-0.0225657141424587,-0.209715244979862,0.0255031028635648,1.07821614654592,-0.170542808525308,0.672469131536545,1.10119981683009,-0.569179754559137,-0.187619987639775,-0.412130236551816,-0.18275317550976,-0.126046201148694,0.318075510336451,-1.43040831713792,0.283253046591166,-0.670099419967226,-0.19408790971224,-0.678248334003682,-0.496443484435921,-0.596738673480563,-0.232974911715001,-0.298434877224069,0.561167838345609,-0.1991307202186,-0.405250857994757,1.84412252712763,-0.191552545367513
38560,12,"Female",-1.17256571414246,1.10846657320196,0.672775830136292,0.814579782909555,0.0112753732928743,0.730650949718363,0.61210890773918,0.610820245440863,0.221470921451134,1.87574855132697,0.72754985479327,1.54304470794222,0.721105813366754,1.21140986468026,-0.107656044317925,-0.215553965421771,-0.012269727894058,0.230842575087227,0.0490110610186242,-0.00582958257147215,-0.187520366260456,-0.0123742711634628,-0.0194382222604501,0.726323825235945,0.14141580867191,0.142304345309451,0.00117472735975932
54668,17,"Female",0.490477764118411,0.0772412767592678,-0.150149071049479,1.76517266828505,-0.170542808525308,1.60812130544959,1.06467807769965,1.02386372370173,0.247162621055877,0.196565415622096,0.885652621591688,0.764388581460002,0.294887104539348,0.073069943731646,0.091948698765079,-0.322273333010704,-0.19408790971224,-0.199987464438465,-0.366008701827226,-0.248912586524041,-0.189496650845436,-0.473507340992184,-0.0602814370167086,-0.449565502827296,-0.336845060893307,-1.56718182069845,-1.09763950188925
56533,13,"Female",-1.13685142842817,-0.138286673551291,-0.183068325707864,-0.536069567739795,0.0437429057604067,-0.516102297034884,-0.193085897455625,-0.389179754559137,0.0980942980745111,0.111679287257708,-0.255134127890712,-0.604141439243932,-0.27240068013974,-0.506122602852205,-0.873889810551691,-0.670099419967226,-0.19408790971224,-0.678248334003682,-0.496443484435921,-0.596738673480563,-0.232974911715001,1.33394607515688,0.755453552631324,0.776107375019495,0.141415808671908,0.681265384270491,0.585590311775344
53395,16,"Female",1.0595771430004,0.218856183591566,0.888360245720708,0.749644717974491,1.15088576290326,0.841040560107973,0.628342673972946,0.860820245440863,0.0980942980745111,-0.0907016651232452,0.423437300680715,1.44347760837512,1.04902789128883,-0.148979745709348,0.126110189448309,1.40132915146135,0.30591209028776,1.42889452313917,0.82498508699265,1.29611846937658,0.195596516856427,-0.237482496271688,-0.0540702568924867,2.31182166073378,0.915225332481433,1.52055109855621,1.04987602606106
24940,15,"Male",-0.861162205370529,0.034729199464582,1.63439199175245,-1.21067274234297,-0.114987252969752,-0.920864201796789,-0.478800183169911,-0.72251308789247,-0.0765088765286636,-0.0973154217370018,-1.08053095328754,-0.884564719667212,-0.674517082256142,-0.859297206026808,-1.23896917563106,0.718789468921663,1.30591209028776,0.54397388821854,0.892445404452968,1.34770577096388,1.32258064384055,1.01119475240556,0.54116783834561,0.532721131633252,0.715489882745985,0.213011416016522,-0.104885878700847
